Can you assist me in re-enabling a card via automated teller machine?,Banking_Activate_Card
Can I initiate credit card with atm?,Banking_Activate_Card
When will my credit card begin working?,Banking_Activate_Card
What should I do to setup my credit card for online payments?,Banking_Activate_Card
What is the process to activate credit card after cancellation?,Banking_Activate_Card
What are the steps for turning on a new card?,Banking_Activate_Card
Please help me with first time activation for credit card,Banking_Activate_Card
I want to turn on my new visa card,Banking_Activate_Card
I want to reactive my cancelled card,Banking_Activate_Card
I want to activate my credit card by internet banking,Banking_Activate_Card
I want to activate my card.,Banking_Activate_Card
I want to activate master card by text,Banking_Activate_Card
I want credit card activation keys,Banking_Activate_Card
Is pin necessary to activate a card?,Banking_Activate_Card
I need your help for mastercard credit card activation,Banking_Activate_Card
I need to activate it my card,Banking_Activate_Card
I got a new card,Banking_Activate_Card
How to initiate a credit card?,Banking_Activate_Card
How long does the credit card activation takes?,Banking_Activate_Card
How do I reactivate a credit card account?,Banking_Activate_Card
Annual charges are high hence want to cancel my credit card,Banking_Cancel_Card
Cancel a card,Banking_Cancel_Card
Can I cancel a credit card I just applied for?,Banking_Cancel_Card
Can I cancel my credit card if I have some pending dues?,Banking_Cancel_Card
Details on how to apply for cancellation of credit card,Banking_Cancel_Card
How to cancel a credit card without hurting its score?,Banking_Cancel_Card
How to close credit card online?,Banking_Cancel_Card
How to deactivate credit?,Banking_Cancel_Card
I am not able to curb my spendings on credit card and so I want to close it,Banking_Cancel_Card
I am not using credit card tell me how can I deactivate it,Banking_Cancel_Card
I no longer need this credit card,Banking_Cancel_Card
I want to know about credit deactivation process,Banking_Cancel_Card
I want to raise request for deactivating my credit card,Banking_Cancel_Card
Please assist me to revoke my credit card,Banking_Cancel_Card
Please revoke my credit card,Banking_Cancel_Card
Tell me the ways through which I can close my credit card,Banking_Cancel_Card
What are the ways for closing credit card?,Banking_Cancel_Card
What is the procedure for credit card deactivation?,Banking_Cancel_Card
What is the process for closing credit card?,Banking_Cancel_Card
What is the way to deactivate my credit card?,Banking_Cancel_Card
Can you tell me about how much fee the bank charged for last month on my credit card?,Banking_Fee_Inquiry
Charges included in credit card,Banking_Fee_Inquiry
Could you provide additional information regarding card fees?,Banking_Fee_Inquiry
Does it cost me anything to apply with your company for a credit card?,Banking_Fee_Inquiry
Fee on my card,Banking_Fee_Inquiry
Give me more option about credit card charges,Banking_Fee_Inquiry
How can I pay the fee of credit card?,Banking_Fee_Inquiry
How much do you charge to my credit card?,Banking_Fee_Inquiry
How much we pay for the maintenance fee?,Banking_Fee_Inquiry
I need assistance finding my credit card fee,Banking_Fee_Inquiry
Is there some charge for credit card?,Banking_Fee_Inquiry
I want to know about credit card costs.,Banking_Fee_Inquiry
I want to see the costs associated with this card,Banking_Fee_Inquiry
I would like to find out the cost of my credit card,Banking_Fee_Inquiry
Need some help with my credit card charges/fees,Banking_Fee_Inquiry
What are the charges for new credit card?,Banking_Fee_Inquiry
What are the fees?,Banking_Fee_Inquiry
What is the charge for card?,Banking_Fee_Inquiry
Where can I see the cost for buying the credit card?,Banking_Fee_Inquiry
Where is the credit card fee information?,Banking_Fee_Inquiry
Can I get info on replacing my credit card?,Banking_Replace_Card
Can I have helpline number to ask credit card replacement?,Banking_Replace_Card
Can I request a replacement for my card online?,Banking_Replace_Card
Can you tell me how to re-issue a credit card?,Banking_Replace_Card
Card need to be replaced as it does not work,Banking_Replace_Card
Credit credit card replacement methods,Banking_Replace_Card
Do I need to validate my new home address in order to get a card replacement?,Banking_Replace_Card
How do I get a card reissued?,Banking_Replace_Card
How do I go about requesting a new card?,Banking_Replace_Card
I need some information on how to replace credit card,Banking_Replace_Card
I need to get a new card,Banking_Replace_Card
I want card replacement same day,Banking_Replace_Card
I want to opt for the replacement of my card as it has worn out,Banking_Replace_Card
I would like to know how to replace my credit card.,Banking_Replace_Card
Please substitute a new card for the worn-out one,Banking_Replace_Card
Please take this old credit card and give me new one,Banking_Replace_Card
Replacement for banking credit card,Banking_Replace_Card
What are the methods using which I can get a new card by replacing it with old one?,Banking_Replace_Card
What is the cost for credit card replacement?,Banking_Replace_Card
Where from can I issue another card?,Banking_Replace_Card
